Temperature (C)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
0.010000	1.0000	999.84	0.0010002	3.3642e-05	0.0018593	0.00012298	75.970	76.014	1402.4	-0.044030	1791.1	0.55568	liquid
0.17665	1.0000	999.85	0.0010001	0.012701	0.014526	0.046480	75.963	76.003	1403.3	-0.044000	1780.8	0.55610	liquid
0.34330	1.0000	999.87	0.0010001	0.025366	0.027191	0.092803	75.957	75.993	1404.1	-0.043971	1770.5	0.55653	liquid
0.50995	1.0000	999.88	0.0010001	0.038029	0.039855	0.13909	75.950	75.983	1404.9	-0.043941	1760.4	0.55695	liquid
0.67660	1.0000	999.88	0.0010001	0.050691	0.052517	0.18535	75.943	75.973	1405.8	-0.043912	1750.3	0.55737	liquid
0.84325	1.0000	999.89	0.0010001	0.063351	0.065177	0.23157	75.936	75.964	1406.6	-0.043882	1740.3	0.55779	liquid
1.0099	1.0000	999.90	0.0010001	0.076010	0.077835	0.27775	75.930	75.954	1407.4	-0.043853	1730.4	0.55821	liquid
1.1766	1.0000	999.91	0.0010001	0.088667	0.090492	0.32390	75.923	75.944	1408.2	-0.043824	1720.6	0.55862	liquid
1.3432	1.0000	999.92	0.0010001	0.10132	0.10315	0.37002	75.916	75.935	1409.1	-0.043795	1710.9	0.55904	liquid
1.5099	1.0000	999.92	0.0010001	0.11398	0.11580	0.41611	75.909	75.926	1409.9	-0.043766	1701.3	0.55945	liquid
1.6765	1.0000	999.93	0.0010001	0.12663	0.12845	0.46216	75.902	75.916	1410.7	-0.043737	1691.8	0.55987	liquid
1.8432	1.0000	999.94	0.0010001	0.13928	0.14110	0.50818	75.895	75.907	1411.5	-0.043708	1682.3	0.56028	liquid
2.0098	1.0000	999.94	0.0010001	0.15193	0.15375	0.55416	75.888	75.898	1412.3	-0.043680	1673.0	0.56069	liquid
2.1765	1.0000	999.95	0.0010001	0.16458	0.16640	0.60011	75.881	75.889	1413.1	-0.043651	1663.7	0.56109	liquid
2.3431	1.0000	999.95	0.0010000	0.17722	0.17905	0.64603	75.874	75.881	1413.9	-0.043622	1654.5	0.56150	liquid
2.5098	1.0000	999.96	0.0010000	0.18987	0.19169	0.69191	75.866	75.872	1414.7	-0.043594	1645.4	0.56191	liquid
2.6764	1.0000	999.96	0.0010000	0.20251	0.20434	0.73777	75.859	75.863	1415.5	-0.043566	1636.3	0.56231	liquid
2.8431	1.0000	999.96	0.0010000	0.21515	0.21698	0.78358	75.852	75.855	1416.3	-0.043538	1627.4	0.56271	liquid
3.0097	1.0000	999.97	0.0010000	0.22779	0.22962	0.82937	75.844	75.847	1417.0	-0.043510	1618.5	0.56311	liquid
3.1764	1.0000	999.97	0.0010000	0.24043	0.24226	0.87513	75.837	75.838	1417.8	-0.043482	1609.7	0.56351	liquid
