T,P,alpha,z
165.52532078373827,947.0,0.0,0.0
166.46179393613232,944.6724751282982,0.0,0.2515
167.39758495370802,942.3473178884657,0.0,0.503
168.3326862743972,940.0245354807814,0.0,0.7545
169.2670902870388,937.7041351209443,0.0,1.006
170.2007893307312,935.3861240405017,0.0,1.2575
171.13377569417014,933.070509487282,0.0,1.509
172.06604161497927,930.7572987258307,0.0,1.7605
172.9975792790063,928.4464990378507,0.0,2.012
173.92838081959718,926.1381177226465,0.0,2.2635
174.85843831686896,923.8321620975721,0.0,2.515
175.78774379694283,921.5286394984837,0.0,2.7665
175.7874288444866,919.2261279709677,0.0,3.018
175.78711389021953,916.9236192277234,0.0,3.2695
175.78679893414113,914.6211132687729,0.0,3.521
175.78648397625233,912.3186100941373,0.0,3.7725
175.78616901655562,910.0161097038382,0.0,4.024
175.71501935196636,907.7472370102057,0.0282864930434337,4.2755
175.6117655086333,905.5477309474968,0.06680187185944524,4.527
175.5118023077996,903.4223320962545,0.10144040053141981,4.7785
