T,Pe,h,Gamma,z,v,hl_sat,T_sat,T_cr,alpha,h_cr,p
443.94190840013704,2.2013550020039226e6,722595.040957221,0,-0.075,0.9984574012357161,739819.381675729,447.8767028340844,444.8627268936668,-3.199962421726006e-19,726620.7840267292,886866.27615625
444.14781498100814,2.201900235294464e6,723494.2611603023,0,0.075,0.9984574012357161,739539.4125048437,447.81301046813496,444.79887563142535,-3.204272514406723e-19,726340.8148558439,885533.72384375
444.353682923764,2.2024353946266696e6,724393.4813633837,0,0.225,0.9984574012357161,739264.6946713364,447.75050934842136,444.7362187028918,-3.209046140687427e-19,726066.0970223367,884227.6321873242
444.55951869190625,2.202982166205046e6,725292.701566297,0,0.375,0.9984574012357161,738984.0960755842,447.6866667987048,444.67221711848794,-3.1899686102055293e-19,725785.4984265844,882895.0798748242
444.76531539924423,2.203518470992969e6,726191.9210934925,0.06192272686008615,0.525,0.9991324790339725,738708.9476696649,447.62406086190504,444.6094553433806,0.0006791202113950012,725510.3500206651,881589.8796367028
444.9710792927315,2.2040658637996633e6,727091.1393442589,0.17816109534055083,0.675,1.0010785620114073,738428.1909289287,447.560175334078,444.54541091037083,0.0026317111340429383,725229.5932799289,880259.5742689414
445.17680349539813,2.2046017513898523e6,727990.3561646183,0.30688224167056427,0.825,1.0044374538392684,738153.4137138659,447.4976470143419,444.4827271769216,0.00598400168256082,724954.8160648661,878959.066415555
445.3824941795078,2.2051472586069657e6,728889.5713508276,0.4516761369919472,0.975,1.009391410611563,737873.783734537,447.434010929402,444.4189330423129,0.010887452400200231,724675.1860855372,877637.0773210034
445.5881444360066,2.205679588714453e6,729788.7846688031,0.6141146187452635,1.125,1.0161400878478768,737600.9858723211,447.37192627532795,444.3566943058396,0.017490330209041435,724402.3882233213,876348.832203093
445.79376034333114,2.2062197525576614e6,730687.9958051943,0.7995094638208413,1.275,1.0249438324986482,737324.2516679409,447.3089423700223,444.2935542014201,0.025973088427692137,724125.6540189411,875043.454719779
445.9993349433074,2.2067447320623733e6,731587.2043880871,1.0109211420570872,1.425,1.0360957310640244,737055.3719777109,447.24774285202653,444.2322030205113,0.03651132858636085,723856.7743287111,873776.5316524875
446.2048741947009,2.207275396383135e6,732486.4099100311,1.2567380789794746,1.575,1.0499857956494563,736783.6560952652,447.18589451081,444.17020151953,0.04932388737978226,723585.0584462654,872497.6497246046
446.4103710600184,2.2077884892091826e6,733385.6117444816,1.543070292298105,1.725,1.0670686107203626,736521.009364585,447.1261073707555,444.110266430079,0.06462400669262597,723322.4117155853,871262.7949243943
446.6158313301175,2.2083047055587363e6,734284.8090118564,1.8843299792372705,1.875,1.0879659864682236,736256.8351297701,447.06596941644466,444.0499797633744,0.08268705995144837,723058.2374807703,870022.0878007561
446.82124783244876,2.2088005360226366e6,735184.0005996756,2.29349067432641,2.025,1.1134374968229277,736003.1607560043,447.00821877579926,443.9920864130098,0.10378680543094544,722804.5631070045,868831.9477769193
446.95038192469593,2.2092972112302487e6,736083.186985662,2.640359037254581,2.175,1.1428154915297366,735749.1203147941,446.95038192469593,443.93410673650436,0.12695431788473582,722550.5226657944,867641.3207685177
446.89505764467384,2.209772407589138e6,736982.3724420397,2.6401118123674228,2.325,1.1722577586253617,735506.127806619,446.89505764467384,443.8786459268853,0.14900721183085724,722307.5301576193,866503.6242762951
446.83984578150984,2.210246733798071e6,737881.5569549706,2.639865197667944,2.475,1.2017704867804684,735263.6405535454,446.83984578150984,443.8232979003437,0.17002814489573034,722065.0429045457,865369.4151111632
446.787028678683,2.2107005757831084e6,738780.7405325492,2.6396293803851543,2.625,1.2313416700601214,735031.681694444,446.787028678683,443.7703506230733,0.19007981336698562,721833.0840454443,864285.4994377089
446.7342108789341,2.211154510978951e6,739679.9231568356,2.6393936584359103,2.775,1.2609808898940542,734799.7302770601,446.7342108789341,443.7174027282699,0.20923362832224937,721601.1326280603,863202.6426590288
446.6836846799396,2.211588832950752e6,740579.8688364131,2.6391682558002065,2.925,1.2906732063617667,734577.8523357406,446.6836846799396,443.6667521545133,0.22753947480428025,721379.2546867408,862167.7713610225
