T,Pe,h,Gamma,z,hl_sat,T_sat,T_cr,alpha,h_cr,p
443.9424108298563,2.194263052835348e6,722597.2362274247,4.0175304765403945,-0.075,739819.1960606021,447.8766606082211,444.8626845624198,-0.0019038003278601932,726620.5984116023,886865.3921952735
444.1473126368145,2.1949235366597367e6,723492.0658900986,1.5635135894212517,0.075,739539.5983301202,447.8130527441416,444.7989180128604,0.0019038003278601932,726341.0006811204,885534.6078047265
444.35217836006916,2.1955733004223504e6,724386.9035296382,0.794472581428082,0.225,739264.5938403483,447.7504864077166,444.73619570502046,0.0038219637947454824,726065.9961913485,884227.1530728028
444.55700976765166,2.196226441720653e6,725281.7418558829,0.509212914363971,0.375,738988.2149790374,447.6876039682757,444.67315662172575,0.0050476166413896545,725789.6173300376,882914.6294493823
444.76180492271783,2.196875896123056e6,726176.5804261928,0.40775695676754786,0.525,738713.4510012487,447.6250855555008,444.6104825867138,0.006026947042393032,725514.8533522489,881611.2300366565
444.9665655876618,2.1975293109322186e6,727071.419033221,0.39217923008191313,0.675,738437.0665621785,447.562195017345,444.5474356154554,0.006967088278837269,725238.4689131788,880301.6063844321
445.1712898010953,2.198179185411051e6,727966.257555608,0.42667901646354744,0.825,738162.2343686118,447.49965429558733,444.4847394454772,0.007987961530167656,724963.636719612,879000.791664964
445.3759792913949,2.198832973347665e6,728861.095897029,0.5007107025778446,0.975,737885.8022142862,447.4367460764753,444.421674980096,0.009183350054559131,724687.2045652864,877693.8655035467
445.5806320742505,2.1994830113704856e6,729755.933960738,0.6141819669085122,1.125,737611.0102748069,447.37420773612257,444.3589814267977,0.010645796301473928,724412.4126258071,876396.1456389177
445.78524983558356,2.200136642089323e6,730650.7716308263,0.7745767722078181,1.275,737334.754530226,447.3113328536114,444.2959506112565,0.012484151020162086,724136.1568812262,875092.9707982069
445.98983055489185,2.2007860438563935e6,731545.6087677089,0.9909682985242636,1.425,737060.3406617541,447.2488738000038,444.2333367701804,0.014826357871440432,723861.7430127544,873799.9308445676
446.1943758635426,2.2014384201964894e6,732440.4452082817,1.271988927385967,1.575,736784.72451749,447.18613771299187,444.17044532375485,0.01781690381548966,723586.1268684902,872502.6756903693
446.3988837053069,2.2020857662097556e6,733335.2807935976,1.6145494027977434,1.725,736511.2877094812,447.1238943393395,444.108047924291,0.021587409678772883,723312.6900604814,871217.1130757566
446.6033556827127,2.2027351578001776e6,734230.1154087767,1.9991661285520888,1.875,736237.0409827598,447.0614632517625,444.0454624598483,0.026217162462130465,723038.44333376,869929.1772946625
446.80778976022464,2.203378484543791e6,735124.949035913,2.3857103346074044,2.025,735965.4089346696,446.9996240801381,443.9834704869854,0.03168642076793415,722766.8112856698,868654.9361090322
446.93768189797083,2.2040229748080396e6,736019.7819921937,2.6403022757010275,2.175,735693.3388781372,446.93768189797083,443.921375360696,0.03766982356384795,722494.7412291374,867380.0512646883
446.87638924714093,2.204660797386061e6,736914.6149095895,2.6400284142296035,2.325,735424.136018031,446.87638924714093,443.8599314794674,0.04358085152923071,722225.5383690313,866119.9907707579
446.81503893988776,2.2052993100777534e6,737809.4477881116,2.639754428060225,2.475,735154.694104805,446.81503893988776,443.798429909014,0.04942080956146423,721956.0964558052,864860.1939553401
446.75433231699236,2.205931212268246e6,738704.2806277613,2.639483447327802,2.625,734888.0931152226,446.75433231699236,443.73757371770165,0.055190978178281,721689.4954662229,863615.0406444086
446.693560688197,2.206563879512088e6,739599.1134285495,2.639212306625811,2.775,734621.2205344555,446.693560688197,443.6766524676175,0.060892600523756994,721422.6228854557,862369.973392688
446.63342711794047,2.2071899912460493e6,740494.6867677438,2.6389441408316534,2.925,734357.1635940217,446.63342711794047,443.61637095259977,0.066526897044945,721158.5659450219,861139.3752026971
