T,Pe,h,Gamma,z,v,hl_sat,T_sat,T_cr,alpha,h_cr,p
443.47944024260556,3.654555110979227e6,720580.7357188886,0,-0.075,1.6603387458176648,742284.5935568894,448.43738078116604,444.73710586997254,-6.308547078669749e-21,726077.7575568481,898665.0679557952
443.73241025340434,3.655449353439944e6,721685.2425286026,0,0.075,1.6603387458176653,742007.9007855888,448.3744645344294,444.6739963793176,-6.276655818625205e-21,725801.0647855474,897334.9320442048
443.9853248145626,3.6563311970390584e6,722789.7493383167,0,0.225,1.6603387458176653,741735.1219143966,448.31243487230705,444.6117763361794,-6.326291739414358e-21,725528.2859143553,896025.0619865066
444.2381888018948,3.6572279324038583e6,723894.2561480307,0,0.375,1.6603387458176653,741457.8154431755,448.2493721961824,444.5485202507474,-6.29421884547759e-21,725250.9794431342,894694.926074916
444.4909970233705,3.658112221684411e6,724998.7629074589,0.0027808582011646594,0.525,1.6603686797834338,741184.4355766625,448.18719908023496,444.4861565940263,1.812185873562592e-5,724977.5995766212,893385.0798148988
444.7437533684105,3.6590103831032035e6,726103.2662330304,0.19427230703647838,0.675,1.6624629044972512,740906.8460941155,448.12406515025685,444.4228293211699,0.0012843246749734262,724700.0100940742,892056.5413836696
444.9964530967248,3.659897824600902e6,727207.765708382,0.40697702158016574,0.825,1.6668591265936834,740632.6478591727,448.0616991055851,444.3602724261099,0.003931975062717502,724425.8118591313,890745.6939440178
445.2491000237659,3.660797056951406e6,728312.2608002792,0.6460080157444487,0.975,1.6738518932381012,740354.8856453319,447.998518987604,444.29689910925623,0.008114709994698625,724148.0496452906,889419.2873544755
445.501689350576,3.6616832432816117e6,729416.7508746409,0.9151213154971788,1.125,1.6837774224357365,740081.2310281978,447.93626979408185,444.23445970395136,0.013991967744858906,723874.3950281565,888113.9506408146
445.75422476978974,3.6625787203423493e6,730521.2351058236,1.2221467974392308,1.275,1.697059706975661,739804.7858411823,447.87338240107266,444.1713802904941,0.021749243361531768,723597.949841141,886796.7679618148
446.00670138858203,3.6634584056311995e6,731625.7124822323,1.573771198094792,1.425,1.7141956165231529,739533.2924489299,447.811618129657,444.1094275662812,0.03157947275909151,723326.4564488885,885504.6114342909
446.2591227232815,3.6643444501461694e6,732730.1816544157,1.982833459059591,1.575,1.7358269656722631,739259.9131806538,447.7494214803444,444.0470412833542,0.043711305682311116,723053.0771806125,884204.9123876353
446.51148371872404,3.665211553380068e6,733834.6409055439,2.461961359830717,1.725,1.7627319284379201,738992.4525335553,447.6885681335993,443.9860025330229,0.0583851975857006,722785.616533514,882934.7425184293
446.7637876060582,3.666081697449239e6,734939.087865352,3.0341662521067603,1.875,1.7959490624343823,738724.1279427037,447.6275149962324,443.92476351687174,0.07589508449150979,722517.2919426623,881661.8512212427
447.0160290142838,3.666929456679905e6,736043.5193616422,3.725469800965721,2.025,1.8367978307888921,738462.7773580845,447.5680455844068,443.86511317648245,0.09655941625947824,722255.9413580431,880423.3728943242
447.2682106392902,3.667776741536967e6,737147.9308252629,4.582443713949021,2.175,1.8871231798025112,738201.6432016431,447.50862236412087,443.80550929477306,0.12078750150862594,721994.8072016018,879187.2295446232
447.45093159806436,3.6685995002662456e6,738252.3216838832,5.3987507482211825,2.325,1.9465069794719743,737948.1351146131,447.45093159806436,443.747643255405,0.1477650041654862,721741.2991145718,877988.4373644115
447.3934122608995,3.6694199867940014e6,739356.7087297059,5.398223554424612,2.475,2.0060384069701347,737695.3929087901,447.3934122608995,443.68994928439764,0.17320601998455074,721488.5569087488,876794.493290492
447.3387074580604,3.6702004852141286e6,740461.0919863714,5.397722380342006,2.625,2.0656931509077516,737455.0295210057,447.3387074580604,443.63507850275465,0.19722848642169935,721248.1935209644,875660.1616234201
447.28401226674134,3.670981002342034e6,741565.4713905968,5.397221511586716,2.775,2.125489631924169,737214.719706287,447.28401226674134,443.58021746882196,0.21995442427231912,721007.8837062457,874527.1886206827
447.2319818997715,3.6717236362144393e6,742670.6597811645,5.396745247330558,2.925,2.1853968304164266,736986.128631889,447.2319818997715,443.5280294385994,0.2414750712392008,720779.2926318477,873450.4907633672
