T,Pe,h,Gamma,z,hl_sat,T_sat,T_cr,alpha,h_cr,p
443.4802894579003,3.6396871724199774e6,720584.4569493504,7.7865737282698415,-0.075,742288.942325322,448.43836960551545,444.73809773258097,-0.00259167184912716,726082.1063252806,898685.9854793842
443.73156120904974,3.640806427017353e6,721681.5212981408,3.6382006689310575,0.075,742003.5470913165,448.3734745347736,444.67300334007155,0.00259167184912716,725796.7110912752,897314.0145206158
443.982779826026,3.6418773828992173e6,722778.614820519,2.2307411458570265,0.225,741730.522762424,448.31138900062615,444.61072725570625,0.005730860053097259,725523.6867623826,896002.9894379302
444.23394681851676,3.642951357296954e6,723875.7105500958,1.6647993782055543,0.375,741456.7832394253,448.2491374547164,444.54828478961093,0.008061088181288168,725249.9472393839,894689.9777554708
444.4850600460794,3.6440172958493102e6,724972.807096303,1.4543583446534827,0.525,741185.1456869374,448.1873605806495,444.4863185892079,0.010088050845149832,724978.309686896,893388.4802988872
444.73612121480596,3.6450886313988618e6,726069.9037085535,1.434729062095022,0.675,740912.186716259,448.12527983444835,444.4240477238874,0.012079746484992836,724705.3507162177,892082.0874694133
444.98712818086807,3.646152881111961e6,727166.9998835993,1.5420316660831177,0.825,740641.0865827671,448.0636185331733,444.3621977253754,0.014211692160208417,724434.2505827257,890786.01493886
445.2380826129664,3.6472228170253523e6,728264.0952063948,1.7529306374285611,0.975,740368.5916727037,448.0016366580459,444.30002630987366,0.016624324750070897,724161.7556726624,889484.7032769987
445.48898234086334,3.648285511165893e6,729361.1892953607,2.057815801297037,1.125,740097.9943680657,447.9400831077242,444.2382846657418,0.019441891919299882,723891.1583680244,888193.8705306326
445.7398289909958,3.649353461650924e6,730458.2817859689,2.4509436933604176,1.275,739826.1120414756,447.8782339340354,444.17624663207283,0.022777204858030604,723619.2760414343,886898.3288450232
445.9906203808014,3.650413458682299e6,731555.37236592,2.91747139749012,1.425,739556.3074437039,447.81685412910116,444.1146795362909,0.026718618943843916,723349.4714436625,885614.094886402
446.24135812918763,3.65147779914779e6,732652.4608203359,3.4312424352113413,1.575,739285.4502954416,447.7552315837058,444.0528690954695,0.03131464485187222,723078.6142954002,884326.2600050155
446.49204009211377,3.652533043218575e6,733749.5470902534,3.95204804164793,1.725,739016.9604176261,447.69414436510596,443.9915957482607,0.03655612583004399,722810.1244175847,883051.0731635246
446.7426679326854,3.6535913640105566e6,734846.6312830825,4.43815850847732,1.875,738747.7400684808,447.6328877021346,443.93015257483296,0.042376758089997,722540.9040684395,881773.8080765315
446.9932395793681,3.6546392306639203e6,735943.7136498265,4.854764159603236,2.025,738481.2307029937,447.5722446789396,443.869325042099,0.0486656728602922,722274.3947029524,880510.7758864242
447.2437567459997,3.655688897637756e6,737040.7945164619,5.18502135244598,2.175,738214.3149030384,447.511505984254,443.8084016789106,0.055294014773277306,722007.4789029971,879247.1839859769
447.4514443803235,3.656727008166219e6,738137.8743439147,5.39875544921163,2.325,737950.388356285,447.4514443803235,443.7481575950517,0.06210053457076289,721743.5523562437,877999.0870940256
447.3913322165144,3.6577661367441984e6,739234.9540163289,5.398204494272337,2.475,737686.2533480141,447.3913322165144,443.6878629270299,0.0688113984294782,721479.4173479727,876751.3413026775
447.3319603343223,3.658792609997845e6,740332.0335337151,5.397660582115928,2.625,737425.3846190209,447.3319603343223,443.6283109151123,0.07542861719563593,721218.5486189795,875520.3369635167
447.272527945175,3.659820270211403e6,741429.1128961225,5.397116372010893,2.775,737164.2634162949,447.272527945175,443.56869833895627,0.0819541369363755,720957.4274162536,874289.4460352884
447.21382784815637,3.660835406495303e6,742526.9412166633,5.396579118928053,2.925,736906.3727335682,447.21382784815637,443.5098203990593,0.08838985876063807,720699.5367335269,873075.063853411
