T,Pe,h,Gamma,z,hl_sat,T_sat,T_cr,alpha,h_cr,p
438.13347464334316,3.6583639713920993e6,697273.267917351,16.813716820438064,-0.075,741212.7842118487,448.1936463940416,441.516900981464,-0.003562158971303689,712011.2165487426,893520.8396507144
438.5852951101557,3.6595508651860934e6,699238.3251818604,4.9884541800154585,0.075,740911.5747832389,448.12514065496754,441.44802363295884,0.003562158971303689,711710.0071201328,892079.1603492856
439.0369569070397,3.6606294203283223e6,701203.4498728429,2.2857323096942013,0.225,740637.9165372164,448.06289749169764,441.38544309285766,0.006762430805848538,711436.3488741103,890770.8680095235
439.4884627028984,3.6617150355128953e6,703168.57809651,1.4070187081554355,0.375,740362.5217754107,448.00025595709,441.32246227312277,0.008722444682903818,711160.9541123046,889455.7325150848
439.9398079667704,3.6627874987413986e6,705133.7074926075,1.115122503784752,0.525,740090.5172992747,447.93838223054325,441.2602536671906,0.01027048134934194,710888.9496361685,888158.2226387116
440.390995376323,3.663870996121157e6,707098.8370437373,1.0751860647276938,0.675,739815.7686825327,447.87588090856724,441.19741431826014,0.011758612895311351,710614.2010194266,886849.070000008
440.8420204248759,3.6649427079095924e6,709063.9661649365,1.17929235328935,0.825,739544.0623593162,447.8140683284738,441.13526768232424,0.013385817616092963,710342.49469621,885555.8431541339
441.2928857237281,3.6660258653643164e6,711029.0943744897,1.4010534587302281,0.975,739269.5085442676,447.7516045829582,441.0724666104163,0.01531222337483608,710067.9408811615,884250.5062991144
441.743586721665,3.6670970811752477e6,712994.2211477404,1.749763893685202,1.125,738998.0352672854,447.6898383645859,441.0103670781267,0.017707804184826204,709796.4676041793,882961.2408539037
442.1941259015223,3.6681792915382157e6,714959.3458081887,2.260557356531881,1.275,738723.8298007628,447.62744715681924,440.9476394315521,0.02078590754824605,709522.2621376567,881660.4376501639
442.6444986082358,3.669248742058423e6,716924.4674840316,2.97748284958732,1.425,738452.9107500948,447.56580041230364,440.8856605071597,0.024811588650201565,709251.3430869887,880376.6430693959
443.0947071651829,3.6703280868654735e6,718889.5851492494,3.9319866771169654,1.575,738179.5389907275,447.5035922293585,440.8231173652817,0.030078543412047985,708977.9713276214,879082.6538324578
443.5447468746275,3.6713931314621046e6,720854.6978879902,5.0888609998600876,1.725,737909.8420305342,447.4422170013678,440.76141190565414,0.03681325838885717,708708.274367428,877807.4636743702
443.9946200980315,3.672466088820384e6,722819.8052795741,6.32027654421136,1.875,737638.1944507643,447.38039457918995,440.69925708884693,0.04505162715520484,708436.6267876582,876524.4599075677
444.44432235994964,3.6735221207390865e6,724784.9076400939,7.445825958937382,2.025,737370.8839937901,447.31955599241627,440.6380916352621,0.05458239226876357,708169.316330684,875263.320428887
444.8938562257296,3.6745830402389346e6,726750.0058398551,8.336911295047418,2.175,737102.3882616478,447.25844442843464,440.57665197553183,0.06503586685193892,707900.8205985416,873997.9659398547
445.34321741991886,3.6756239866087856e6,728715.1009191595,8.961760066831344,2.325,736838.9978221499,447.19849173771206,440.5163776421915,0.07602423144613935,707637.4301590438,872758.0114931355
445.792408571557,3.676667382659601e6,730680.1937790514,9.362251630246844,2.475,736575.0377254124,447.1384062758208,440.4559700551811,0.08723782464601425,707373.4700623063,871516.7059330532
446.2414254603098,3.6776891078516366e6,732645.2850753736,9.602735810541123,2.625,736316.6086123165,447.0795768256354,440.3968254362925,0.0984671003272312,707115.0409492104,870302.7002059511
446.69027068478414,3.6787123823939185e6,734610.3752304498,9.741896773776311,2.775,736057.8358320819,447.0206661590867,440.33759938672614,0.10958725449151925,706856.2681689757,869088.3578278394
446.96303244788436,3.6797136107092667e6,736576.2264738297,9.798417203383517,2.925,735804.6849254424,446.96303244788436,440.27965734250245,0.12050553931603979,706603.1172623363,867901.6336872609
