T,Pe,h,Gamma,z,v,hl_sat,T_sat,T_cr,alpha,h_cr,p
397.49042019543873,3.42142126468794e6,522298.329838011,0,-0.075,1.2488381028944207,548189.1183376743,403.57308978677054,400.80264475733014,-6.459808506374948e-20,536388.0837803114,273718.02148383966
397.67974971357074,3.4237076932373103e6,523102.17828155804,0,0.075,1.2488381028944207,547437.183849344,403.3968960159064,400.6262313513763,-6.123907503605366e-20,535636.1492919811,272281.97851616034
397.86904631035173,3.4258334332433245e6,523906.0267251051,0,0.225,1.2488381028944207,546738.5131375442,403.23316956922866,400.46230133420187,-1.7946855960036622e-19,534937.4785801813,270953.033858945
398.05834474374984,3.428141212159169e6,524709.8751686523,0,0.375,1.2488381028944207,545980.4670103489,403.0555144424419,400.284425888205,-3.12455478409997e-19,534179.432452986,269516.9908912656
398.2476101941467,3.430286903464417e6,525513.7236121993,0,0.525,1.2488381028944207,545276.0873529499,402.8904229166269,400.11913015471606,-3.4949834736054967e-19,533475.052795587,268188.04623405036
398.4368773631512,3.432616453505348e6,526317.5720557463,0,0.675,1.2488381028944207,544511.8139661084,402.71127876304763,399.939764988942,-1.2004186385192352e-19,532710.7794087455,266752.0032663709
398.6261114873417,3.4347824913633266e6,527121.4204992935,0,0.825,1.2488381028944207,543801.6167949795,402.5447961749452,399.77307754767963,-1.1836052653377961e-19,532000.5822376166,265423.0586091557
398.8153472117958,3.4371342461153846e6,527925.2689428405,0,0.975,1.2488381028944207,543030.9970999154,402.36413450300904,399.59219416148494,-3.162236059502642e-19,531229.9625425525,263987.0156414762
399.0045498294438,3.4393210378933665e6,528729.1173863875,0,1.125,1.2488381028944207,542314.8706112723,402.19623409476907,399.4240882461133,-3.7937584388709143e-19,530513.8360539094,262658.0709842611
399.1937539283039,3.441695444301879e6,529532.9658281968,0,1.275,1.2488381028944207,541537.7819925683,402.01402555891866,399.24165728466033,-4.3201575243391795e-19,529736.7474352054,261222.0280165816
399.38292357237367,3.443898411499183e6,530336.8108601982,0.07854226220278158,1.425,1.251555360397665,540817.245412091,401.84506304037046,399.0724890623349,0.002174444328642026,529016.2108547281,259896.08489794628
399.5720931981699,3.4462890929739526e6,531140.6507458012,0.19441941815303612,1.575,1.2583306132972707,540035.794752335,401.66180118341055,398.88900469268236,0.007555277652648491,528234.760194972,258464.11194433869
399.7612264934253,3.4484954881526306e6,531944.4840733377,0.3374456533258286,1.725,1.2701674927408995,539315.0274819264,401.49275643979064,398.71975525119916,0.016818156092214195,527513.9929245635,257148.9173493754
399.9503569980322,3.4508740761952335e6,532748.3079576343,0.5353316601184053,1.875,1.2890807836943452,538538.4873878596,401.3106160012221,398.53739484987335,0.03126542296620323,526737.4528304967,255737.9261636597
400.13944766102003,3.4530467097703456e6,533552.1184908443,0.8014007758199521,2.025,1.317552470563679,537829.6179332299,401.14433437585427,398.370912949948,0.05223169032640872,526028.583375867,254455.28744855215
400.3285298112593,3.4553648200503886e6,534355.9068900697,1.2156034184884714,2.175,1.3610145556720499,537073.7380673955,400.96701112085714,398.1933766846845,0.08254487106506737,525272.7035100326,253093.24170192314
400.5175632529199,3.4574420478119324e6,535159.6572499148,1.874914725522293,2.325,1.428322747641,536396.8022404148,400.80819503428853,398.03437031244204,0.1258488282752482,524595.7676830519,251878.3872644497
400.6411045092384,3.459628580241666e6,535963.3441246822,2.8883330977534145,2.475,1.5325758347836627,535684.6515779466,400.6411045092384,397.8670800897201,0.18541304070332928,523883.61702058377,250605.35837574615
400.49028233436644,3.461603177299442e6,536767.0189322573,2.887761094515394,2.625,1.6376194247829172,535041.8851370657,400.49028233436644,397.7160781017305,0.23775782069868573,523240.8505797028,249460.7701385744
400.33964581160876,3.4635762446488156e6,537570.6812416523,2.8871903123735936,2.775,1.7435406357570802,534399.9547335446,400.33964581160876,397.5652624048106,0.2841526672681519,522598.92017618177,248321.8361114066
400.20347792847963,3.4653605739036393e6,538375.192365837,2.8866747976482428,2.925,1.8501012585378407,533819.7202209001,400.20347792847963,397.42893291594424,0.32546661416826167,522018.6856635373,247295.93793534473
