T,Pe,h,Gamma,z,hl_sat,T_sat,T_cr,alpha,h_cr,p
397.49097519593226,3.4123468905055905e6,522300.68498075235,6.592023285775731,-0.075,548186.0405888895,403.5723686374036,400.8019227078162,-0.003451231317049896,536385.0060315266,273712.1313586624
397.6791947585846,3.414882787422498e6,523099.8231388167,0.3619634802030647,0.075,547440.2744437729,403.3976202367747,400.6269564738263,0.003451231317049896,535639.23988641,272287.8686413376
397.8673918232698,3.417306654833091e6,523898.97852202074,0.04578920989223345,0.225,546727.7465396662,403.23064642400624,400.45977505575087,0.004315582083180742,534926.7119823033,270932.5950996481
398.05557935084835,3.419804187721319e6,524698.1345552797,0.024272334175075905,0.375,545993.8620283015,403.058653821005,400.28756915493545,0.0047731580419285435,534192.8274709386,269542.3137673119
398.24374535420554,3.42224515088199e6,525497.2905287702,0.026234153165110463,0.525,545276.8923884229,402.8906116072069,400.11931907840324,0.005267246123715452,533475.85783106,268189.5621034123
398.43190170772084,3.4247625385205545e6,526296.4463157742,0.032375344424339314,0.675,544537.7772115071,402.71736474851576,399.9458584729,0.005876321592669426,532736.7426541442,266800.6866846539
398.62003639429327,3.4272227035113527e6,527095.6018577785,0.040431734081504356,0.825,543815.7588968115,402.54811145939397,399.77639690645765,0.006635917267114175,532014.7243394486,265449.47026322485
398.8081612145301,3.4297592825967553e6,527894.7570046153,0.05341032317225203,0.975,543071.6203249841,402.3736584738485,399.60172980525607,0.007637569395743822,531270.5857676212,264062.56190585246
398.9962641230135,3.4322372072438602e6,528693.9115703793,0.07244372440073388,1.125,542344.9884298259,402.20329567914257,399.43115846315493,0.008992955745034812,530543.953872463,262713.8543187077
399.1843567405099,3.434790398819504e6,529493.0650622663,0.1075033294581651,1.275,541596.5944533307,402.027816213611,399.255464752258,0.010997495275653446,529795.5598959678,261330.49300203516
399.372426727036,3.437281246980675e6,530292.2164314898,0.1762041728377679,1.425,540866.776824119,401.8566783616816,399.0841185077496,0.01426561003755828,529065.7422667561,259987.06147342638
399.5604842710304,3.439838950069677e6,531091.3613401907,0.3775627018767729,1.575,540117.6808975764,401.6810054520116,398.9082322494536,0.021196331269023257,528316.6463402135,258613.86913129484
399.7485080486669,3.442290954668636e6,531890.4726857345,1.4150700151641196,1.725,539399.8364665835,401.51264776565694,398.73967063614583,0.046329110440147765,527598.8019092206,257303.3921671284
399.9365111671961,3.444805478838504e6,532689.544612151,2.543458226684918,1.875,538663.988143676,401.3400537375705,398.5668680952157,0.08840815650656217,526862.9535863131,255965.54495346462
400.12448209493454,3.4471771019750717e6,533488.6028703402,2.8211301963756874,2.025,537970.2355761916,401.1773205063781,398.40393876928687,0.13094910084825345,526169.2010188287,254709.31449860425
400.31243316219576,3.449529357164858e6,534287.65483126,2.8690344154031493,2.175,537282.4141589506,401.0159662992412,398.2423906126253,0.1703338103488871,525481.3796015877,253468.68009139353
400.5003534061171,3.4517287754988563e6,535086.7017044718,2.880253249265919,2.325,536639.5226798239,400.86514109037665,398.0913845449998,0.20644646559091992,524838.488122461,252313.44660389455
400.6882550765209,3.453919577498005e6,535885.7435774833,2.8879229699403113,2.475,535999.3791387841,400.7149500257419,397.94101379900883,0.2396387475164312,524198.3445814213,251167.32596220585
400.57446911566245,3.45596930994423e6,536684.7807284101,2.888080314611311,2.625,535400.6626274558,400.57446911566245,397.8003652005174,0.27017458772036795,523599.62807009293,250099.13772819124
400.43384954541915,3.4580216177025456e6,537483.8131817662,2.88754720258131,2.775,534801.3942381835,400.43384954541915,397.659578140108,0.2983541374000156,523000.35968082066,249033.59621872188
400.30227233675106,3.4599424548652414e6,538283.6560863111,2.8870487791073765,2.925,534240.6963664405,400.30227233675106,397.52784454074606,0.32444029913576933,522439.66180907766,248039.91792616033
