T,Pe,h,Gamma,z,hl_sat,T_sat,T_cr,alpha,h_cr,p
416.7288345173499,3.933232408187181e6,604590.5011041379,14.734568312405525,-0.075,639538.4932258268,424.8545403455269,419.8054145875783,-0.003967266711294499,617802.6615450934,498322.7140187091
417.0709723586841,3.935156639522214e6,606057.713029613,1.715090712971846,0.075,639066.2766397535,424.7452197693755,419.6957605402962,0.003967266711294499,617330.4449590201,496877.2859812909
417.41303725183246,3.936935552281736e6,607524.9721084656,0.3869364629257719,0.225,638629.8457541051,424.64417682579176,419.59440980312326,0.005729710109495603,616894.0140733718,495544.29058005405
417.75503855948193,3.938749326284376e6,608992.2336975851,0.17809828715239107,0.375,638184.9844234677,424.5411752022342,419.4910948418696,0.0065388447816787385,616449.1527427343,494188.40369655285
418.0969677066096,3.940527858393129e6,610459.4955420207,0.15677257708062164,0.525,637748.8865482557,424.4401959294756,419.38980879715837,0.007250011602395838,616013.0548675223,492862.0233568849
418.4388325959231,3.9423469213521946e6,611926.7571045026,0.1800204973627748,0.675,637302.9729661099,424.3369369518694,419.28623654511057,0.008065392309088603,615567.1412853765,491508.6477324667
418.78062463057955,3.9441313663712945e6,613394.0181508166,0.22258802076194772,0.825,636865.6656301304,424.2356641705116,419.18465693050683,0.009071740964771376,615129.8339493971,490184.19634414196
419.12235161769246,3.945956233797405e6,614861.2783874043,0.28926072303020156,0.975,636418.5751235457,424.1321188970366,419.0807983635771,0.010376500859278446,614682.7434428124,488832.98144617147
419.46400490670766,3.9477456726601785e6,616328.5373776518,0.3916017014359525,1.125,635980.2852118323,424.03060508015284,418.9789778165177,0.012137462661220746,614244.4535310989,487511.1731783282
419.80559207527074,3.949574549597461e6,617795.7942232378,0.5670224058600164,1.275,635532.4589593725,423.9268756311811,418.8749353686341,0.014676257132888924,613796.6272786391,486163.4735413863
420.14710409419416,3.951365958312281e6,619263.0470399453,0.8943568432763573,1.425,635093.9280116007,423.82529250381714,418.77304613572727,0.01865430490485594,613358.0963308674,484846.5533788318
420.48854741800915,3.95319327495603e6,620730.2910737406,1.6001614649297489,1.575,634646.7298248766,423.72169480284623,418.66913668321735,0.02569083242611237,612910.8981441433,483506.4606517583
420.82991099945366,3.954977203035175e6,622197.5165237841,3.0649735672995035,1.725,634210.2696945679,423.62057800445365,418.5677160121544,0.03889409738902401,612474.4380138345,482201.3224848775
421.1712013776861,3.9567949333765833e6,623664.7175191169,4.916031612673557,1.875,633765.660818425,423.51756658087396,418.46439544166776,0.05935208053575497,612029.8291376916,480874.63335336064
421.51241081525615,3.958560157216348e6,625131.9013374194,6.105208797016657,2.025,633334.0119443821,423.41755133453387,418.36408044496073,0.08358229289341162,611598.1802636487,479589.3314794736
421.8535471186383,3.960331381063401e6,626599.0762361307,6.606487125203564,2.175,632901.0117732076,423.3172165343574,418.263445337077,0.10844746424917512,611165.1800924742,478302.6899250472
422.19460264095403,3.9620292564607156e6,628066.2462786324,6.782119939452251,2.325,632486.0514881574,423.2210558804527,418.1669972449856,0.13261700909365123,610750.219807424,477072.1722729307
422.5355850451703,3.9637263751419913e6,629533.4129377616,6.84296637746118,2.475,632071.3824961957,423.1249568150157,418.0706112929242,0.15572051628388464,610335.5508154624,475844.9780996696
422.8764866121849,3.9653500709886793e6,631000.5766652498,6.869075323032776,2.625,631674.7528439049,423.0330328202489,417.97841321897744,0.17771658173174096,609938.9211631715,474673.46825760877
422.9410158226937,3.966975712415245e6,632467.7377332746,6.875334577429535,2.775,631277.7452265447,422.9410158226937,417.8861222011158,0.19862361780429058,609541.9135458113,473503.08900459425
422.85301740711316,3.9685306419083904e6,633935.6938930685,6.8744446666945995,2.925,630898.097591014,422.85301740711316,417.7978620467133,0.21850035196464124,609162.2659102806,472385.98714327405
