T,Pe,h,Gamma,z,v,hl_sat,T_sat,T_cr,alpha,h_cr,p
418.5587708768202,4.113831743683508e6,612440.7394473109,0,-0.075,1.656951051338639,636699.1425984609,424.1970985795272,421.6764526419048,-7.34244826610741e-21,625844.0385829795,489680.5852779524
418.7310849980096,4.115484397765521e6,613180.0362003358,0,0.075,1.656951051338639,636248.3942823014,424.09270352615863,421.57189731812207,-7.362874620105577e-21,625393.29026682,488319.4147220476
418.903379827189,4.1171276278911433e6,613919.3329533609,0,0.225,1.656951051338639,635800.396728327,423.9889385661215,421.4679732726557,-7.380943176041432e-21,624945.2927128456,486969.4640312682
419.07565861839413,4.118788771246723e6,614658.6297063858,0,0.375,1.656951051338639,635347.6980939311,423.8840776704596,421.362951831628,-5.756298804892671e-21,624492.5940784496,485608.2934753633
419.2479180405153,4.120440465181267e6,615397.9264594108,0,0.525,1.656951051338639,634897.7564636652,423.77984835651324,421.25856315855384,-3.614859874633669e-21,624042.6524481837,484258.3427845839
419.4201613411771,4.1221101879370874e6,616137.2232124357,0,0.675,1.656951051338639,634443.0876005995,423.6745168577188,421.1530708373891,2.5328422645694126e-21,623587.9835851181,482897.17222867906
419.592385195513,4.123770435791845e6,616876.5199654608,0,0.825,1.656951051338639,633991.1819910684,423.56981843077864,421.04821277556766,-2.412642126789133e-21,623136.077975587,481547.2215378997
419.76459284471173,4.1254488295499515e6,617615.8167184857,0,0.975,1.656951051338639,633534.522671236,423.4640114920047,420.9422447353464,-8.652079902073393e-21,622679.4186557545,480186.0509819948
419.9367809701677,4.1271177229156476e6,618355.1134715107,0,1.125,1.656951051338639,633080.6328610035,423.3588391167909,420.83691244742295,-1.152253554748919e-20,622225.5288455221,478836.1002912154
420.1089528066229,4.1288048807861935e6,619094.4102245356,0,1.275,1.656951051338639,632621.9625317684,423.2525518235297,420.73046377151644,-1.2486699699805524e-20,621766.858516287,477474.92973531055
420.2811050417466,4.1304825127658276e6,619833.7069775607,0,1.425,1.656951051338639,632166.0679740212,423.1469005869045,420.6246523422641,-1.642266961774255e-20,621310.9639585398,476124.9790445312
420.4532409036628,4.132178529400776e6,620573.0037299382,0,1.575,1.656951051338639,631705.3657510567,423.04012794528825,420.517718034681,-2.3014182867180623e-20,620850.2617355753,474763.80848862627
420.62535597588584,4.1338627465048167e6,621312.2968292957,0.1117977349882411,1.725,1.6591507425430996,631248.0558715427,422.93413431364667,420.4115641420896,0.0013294507428157026,620392.9518560612,473415.65499125666
420.7974536303394,4.135568250409652e6,622051.5844047926,0.2787801120291879,1.875,1.6646568449437704,630785.1558416251,422.8268377192325,420.3041055453339,0.004641793173341724,619930.0518261436,472054.05529300874
420.96952938074264,4.137258861850892e6,622790.8653819895,0.4745211662370944,2.025,1.674064854808939,630326.4860819808,422.72051443557314,420.1976219556615,0.010250951695570889,619471.3820664993,470707.904681976
421.1415863118158,4.1389646324074254e6,623530.1382563368,0.7091902485727595,2.175,1.6881792502143753,629863.8932636026,422.6132744730055,420.0902205334645,0.018548768255978756,619008.7892481212,469353.26647089975
421.31361965703144,4.140648488069249e6,624269.4010242873,0.9934286875783485,2.325,1.7080222954153155,629407.4302177461,422.50744837678934,419.9842353311023,0.029982401748612275,618552.3262022646,468019.5530244094
421.485632051787,4.1423396268290402e6,625008.6507363451,1.3478668250252523,2.475,1.7350414668998377,628949.1792103854,422.40120061577636,419.87782805442725,0.04513029863730338,618094.075194904,466683.5832164094
421.6576181517358,4.144000110923961e6,625747.8831493055,1.7983818909801086,2.625,1.7712098775310285,628499.4162224258,422.2969138915492,419.773384977282,0.06468401141743084,617644.3122069443,465375.24637922854
421.8295795946522,4.145658300537293e6,626487.0914847227,2.3953736720701633,2.775,1.8195385531471289,628050.453921397,422.19280596245784,419.66912117911863,0.08959834768094019,617195.3499059156,464072.08723468566
422.00169817090307,4.1472759473362477e6,627227.0769069692,3.2173583194997817,2.925,1.8846319776246943,627612.6411044948,422.09127684613355,419.56744026217933,0.12113542688038917,616757.5370890134,462804.0275688925
