T,Pe,h,Gamma,z,hl_sat,T_sat,T_cr,alpha,h_cr,p
418.5592879397477,4.0999849220464774e6,612442.9762220512,6.840582621105624,-0.075,636707.4727327903,424.1990278043752,421.6783848306273,-0.0025525369341536986,625852.3687173089,489705.7683268041
418.73056798415536,4.101968068917164e6,613177.7994255956,1.103580677553789,0.075,636240.0457898909,424.0907699164253,421.5699607419241,0.0025525369341536986,625384.9417744095,488294.2316731959
418.9018271920641,4.1038561135028983e6,613912.6528371599,0.27361352370978054,0.225,635795.1605635969,423.9877257271849,421.4667585755636,0.003805907540268381,624940.0565481154,486953.7030541709
419.0730713672343,4.105767588695744e6,614647.5083145825,0.11288216911500504,0.375,635344.8795123341,423.88342476576054,421.3622979280032,0.004322088048294427,624489.7754968527,485599.82785457803
419.24429543125297,4.107657769094207e6,615382.3641642667,0.08391126756520828,0.525,634899.738540383,423.78030752143286,421.259023025025,0.0047054482138099265,624044.6345249016,484264.2831691175
419.41550437003104,4.109576117181299e6,616117.219981988,0.08635977820084895,0.675,634448.0896683892,423.67567570765056,421.15423145546276,0.005099688791205508,623592.9856529078,482912.13104196003
419.5866930978474,4.111474009829873e6,616852.0756482236,0.09808061281866998,0.825,634001.3811565835,423.5721814723577,421.0505794176775,0.00554706016595821,623146.2771411021,481577.6565177378
419.75786657564646,4.113400279299786e6,617586.9310813153,0.11611750558678402,0.975,633548.1199469144,423.4671620541537,420.9454000912818,0.006076186379698057,622693.015931433,480226.53732598404
419.9290197179467,4.115305863217586e6,618321.7862100685,0.13963983746453046,1.125,633099.8512774246,423.36329242632934,420.84137252364445,0.006711759598899425,622244.7472619432,478893.19948090723
420.1001574519809,4.1172396787615637e6,619056.6409168208,0.17222192699311778,1.275,632645.0684871312,423.2579063204729,420.73582639311525,0.007494520143324389,621789.9644716497,477543.42797650624
420.271274678303,4.119152364028263e6,619791.4950529265,0.21621109913854042,1.425,632195.3807523336,423.15369388852235,420.6314559374352,0.008475482009039229,621340.2767368521,476211.6878386949
420.4423762621135,4.121092883745917e6,620526.3483582741,0.2801327359785626,1.575,631739.2765804254,423.04798738916134,420.5255893708723,0.009743600305071203,620884.172564944,474863.8966597596
420.6134570459817,4.1230114944328787e6,621261.20045028,0.3732381010957875,1.725,631288.4482255462,422.94349659617285,420.4209405712226,0.011428196737214034,620433.3442100647,473534.61200580746
420.78452174936814,4.124957017584195e6,621996.0506468805,0.5181565733158027,1.875,630831.4241269022,422.8375626746756,420.314846683564,0.013757465219360401,619976.3201114208,472190.0142236404
420.9555650208449,4.126879079220699e6,622730.8978489484,0.7458569125836418,2.025,630380.0378573816,422.73292853224405,420.21005475771284,0.017091242824477198,619524.9338419002,470864.91973612807
421.1265912277133,4.1288259512350135e6,623465.7402331472,1.1092622120648103,2.175,629922.9529916366,422.6269663225636,420.1039329845892,0.022008152752610703,619067.8489761552,469526.04552596307
421.2975946848212,4.130746330009107e6,624200.5755011474,1.6392865679229778,2.325,629472.2142311577,422.5224682931334,419.9992778158173,0.02918567748708693,618617.1102156762,468208.66199768893
421.46857968119826,4.1326876696216464e6,624935.4019692014,2.2816716654911104,2.475,629016.6827672803,422.4168520983411,419.8935030213137,0.03900352095077475,618161.5787517988,466880.19426614663
421.63954101082135,4.1345965466874084e6,625670.220128953,2.867779217670541,2.625,628568.8930179337,422.3130239534054,419.789519178177,0.05106723191700209,617713.7890024523,465577.1640898219
421.8104835308812,4.13651737300602e6,626405.032140468,3.2761696649457877,2.775,628118.4245864738,422.2085678264101,419.68490662769096,0.06448613157817314,617263.3205709924,464269.19640681514
421.98158017053555,4.1383956664083945e6,627140.6054452088,3.5018567866915165,2.925,627678.0514312638,422.10644596266917,419.58263204571057,0.07841907315354323,616822.9474157824,462993.30727443454
