T,Pe,h,Gamma,z,v,hl_sat,T_sat,T_cr,alpha,h_cr,p
415.8021662893359,5.682125292058895e6,600611.042667143,0,-0.075,2.2836302001053137,637230.7215254907,424.32020523275753,419.4902401194765,-4.003770157396119e-19,616443.6576435613,491289.6319593308
416.13278170734327,5.684432460031932e6,602028.1109596107,0,0.075,2.2836302001053137,636775.1385949,424.21469885027875,419.3844276682956,-4.008942075296402e-19,615988.0747129705,489910.3680406692
416.46332915519105,5.686678128629023e6,603445.1792520783,0,0.225,2.2836302001053137,636331.8782623145,424.1120392716567,419.28147068912386,-4.0247654505592685e-19,615544.814380385,488571.2978351308
416.7938203214928,5.688997141755767e6,604862.2475445459,0,0.375,2.2836302001053137,635874.3255940945,424.0060624114917,419.17518724196924,-4.414136980863939e-19,615087.261712165,487192.03391646926
417.1242429878204,5.691254371079352e6,606279.3158370137,0,0.525,2.283630200105314,635429.1432084646,423.9029437422835,419.07177066716713,-7.709384622780982e-19,614642.0793265351,485852.9637109308
417.45460879909143,5.693585355032815e6,607696.3841294813,0,0.675,2.2836302001053137,634969.6007069325,423.7964915993271,418.965011415094,-6.859251877268556e-19,614182.536825003,484473.6997922692
417.78490557834806,5.6958542680859e6,609113.4524219489,0,0.825,2.2836302001053137,634522.4766035007,423.69290913744027,418.8611305388104,-9.427356968447151e-19,613735.4127215712,483134.6295867309
418.11514492659023,5.698197350594813e6,610530.5207144165,0,0.975,2.2836302001053137,634060.9238525694,423.5859768299218,418.75389059614895,-6.834414183374961e-19,613273.8599706399,481755.3656680691
418.4453147084628,5.700478072398593e6,611947.5890065915,0,1.125,2.283630200105314,633611.8380521372,423.4819257980286,418.64954063726634,-4.466047428377493e-19,612824.7741702077,480416.29546253075
418.7754252181859,5.702831311352237e6,613364.6526387364,0.1047253853872427,1.275,2.2856679086009515,633148.6620335166,423.37460284348515,418.54190978847197,0.0008939958108930554,612361.5981515871,479038.2432624481
419.10546405783276,5.705130201905774e6,614781.7064780219,0.32275110682838515,1.425,2.2919699585330107,632696.3680267247,423.2697942388375,418.4368009265455,0.0036487820150259797,611909.3041447952,477695.53417992115
419.4354419701854,5.707508737910233e6,616198.7485953069,0.5792628675695806,1.575,2.3033249070434825,632228.5962945446,423.161391628684,418.32808820302495,0.008574215524557054,611441.5324126151,476309.95605683565
419.76534622177724,5.7098274594706185e6,617615.7766190369,0.8810176559517848,1.725,2.3206590366988693,631772.775678583,423.0557513681871,418.222146161774,0.016000207207625516,610985.7117966535,474962.7857091334
420.09518708165575,5.712220179486316e6,619032.7870638056,1.2471187428098713,1.875,2.345291560007261,631302.6023407447,422.94677727377587,418.1128612075145,0.026363911150843713,610515.5384588152,473576.3019108939
420.4249514022019,5.714547279340041e6,620449.7753489341,1.6939928387322312,2.025,2.3788668885447772,630845.5123222414,422.84082829372966,418.00661042962764,0.040144359162827034,610058.448440312,472231.4183035557
420.75464853425734,5.716942773283755e6,621866.7343767304,2.261150584779616,2.175,2.4238492242572667,630375.1825546089,422.73180300500877,417.89727502501603,0.05800807353683501,609588.1186726794,470850.6821960567
421.0842642526602,5.719268594381331e6,623283.6538870814,2.9936923574862515,2.325,2.483591464978815,629918.7206019285,422.62598512926735,417.79115658785827,0.08073273056272548,609131.656719999,469513.66203717
421.4138055827706,5.721660850655117e6,624700.5164405731,3.993942722753795,2.475,2.5635639222207134,629449.4134601636,422.51718204120687,417.68204490183854,0.10949435556035886,608662.3495782341,468142.09820689145
421.7432545405414,5.723988773112773e6,626117.2925360494,5.419982215423195,2.625,2.6723837057473467,628992.9150777522,422.4113413015679,417.5759043965531,0.1458656401132558,608205.8511958227,466810.961076806
422.07260918049815,5.726399639519167e6,627533.9226136424,7.663543721072029,2.775,2.826693231895917,628520.3467433457,422.30176721249927,417.46602041474694,0.19263969842694204,607733.2828614162,465436.06876471767
422.19134098952355,5.728830109401633e6,628951.4737758667,9.423758382542994,2.925,3.01716928329937,628044.1364805633,422.19134098952355,417.35528234839467,0.24377800616855047,607257.0725986338,464053.7704999504
