T,P,alpha,z
156.65182651295117,750.1246019502273,0.0,-0.0225
156.84528556399147,749.8753980497727,0.0,0.0225
157.03876620867317,749.2825304881842,0.0,0.0675
157.23217400966547,749.033494603963,0.0,0.1125
157.42560316181635,748.440796098029,0.0,0.1575
157.61895946743238,748.1919283665553,0.0,0.2025
157.8123368810222,747.5993991295389,0.0,0.2475
158.00564144531597,747.3506997617765,0.0,0.2925
158.19896687368595,746.7583400070845,0.0,0.3375
158.39221945009808,746.5098092141319,0.0,0.3825
158.58549264596581,745.917619155318,0.0,0.4275
158.7786929873095,745.6692571484105,0.0,0.4725
158.97191370276698,745.077236999176,0.0,0.5175
159.1650615612363,744.8290439896879,0.0,0.5625
159.35822954775023,744.2371939638844,0.0,0.6075
159.55132467489818,743.989170163331,0.0,0.6525
159.74443968329882,743.3974904749621,0.0,0.6975
159.93748183005806,743.1496360950013,0.0,0.7425
160.1305436105476,742.5581269582245,0.0,0.7875
160.3235325272177,742.3104422106588,0.0,0.8325
160.5165408293551,741.7191038397882,0.0,0.8775
160.70947626559177,741.4715889365668,0.0,0.9225
160.90243083830296,740.8804215460746,0.0,0.9675
161.09531254312822,740.6330766992954,0.0,1.0125
161.2882131346871,740.0420805038135,0.0,1.0575
161.48104085647913,739.7949059257251,0.0,1.1025
161.6738872145184,739.2040811400478,0.0,1.1475
161.86666070101495,738.9570770430513,0.0,1.1925
162.05945257252,738.3664238821375,0.0,1.2375
162.25217157080704,738.1195904787884,0.0,1.2825
162.44490870210433,737.5291091577631,0.0,1.3275
162.63757295861637,737.2824466607738,0.0,1.3725
162.8302550953901,736.69213739493,0.0,1.4175
163.02286435590298,736.4456460171712,0.0,1.4625
163.21549124317153,735.8555090219733,0.0,1.5075
163.4080452528114,735.6091889764764,0.0,1.5525
163.6006166349253,735.0192244675603,0.0,1.5975
163.7931151381614,734.7730759675195,0.0,1.6425
163.98563075881816,734.1832841606963,0.0,1.6875
164.17807349944223,733.9373074194702,0.0,1.7325
164.37053310167266,733.3476885307275,0.0,1.7775
164.56291982281704,733.1018837618417,0.0,1.8225
164.75532314896782,732.5124380073458,0.0,1.8675
164.94765359310435,732.2668054244942,0.0,1.9125
165.1400003848583,731.6775330205926,0.0,1.9575
165.33227429376467,731.43207283764,0.0,2.0025
165.52456429212486,730.8429740008631,0.0,2.0475
165.7167814069224,730.5976864318474,0.0,2.0925
165.90901435220792,730.0087613789107,0.0,2.1375
166.1011744133225,729.7636466380443,0.0,2.1825
166.2933500451703,729.1748955858504,0.0,2.2275
166.48545269845283,728.9299538874789,0.0,2.2725
166.55477052226883,728.3653481068652,0.05789943973044031,2.3175
166.53820962567448,728.0687424645337,0.14237485279587767,2.3625
166.50587702040724,727.4899417324301,0.21799612739910418,2.4075
166.49126383798034,727.2284643040109,0.27678112023721013,2.4525
166.46215631100034,726.7078580420294,0.3307818165842985,2.4975
166.44876278581495,726.4684058600334,0.3741979979891541,2.5425
166.4221748854842,725.9932474382697,0.41474463705526093,2.5875
166.40956424006748,725.7679659597211,0.44820151590918056,2.6325
166.38501011166045,725.3294806057712,0.47979268829640775,2.6775
166.3729038802981,725.1133660328546,0.5064099629511847,2.7225
166.35002793083515,724.7051351720272,0.531733023746441,2.7675
166.33748092553788,724.4813060875553,0.5331861324614267,2.8125
166.32511445003496,724.2607512004334,0.5346101880122814,2.8575
166.3126274764686,724.0381013075182,0.536040295776384,2.9025
166.30030417507896,723.8184230382526,0.537443722324351,2.9475
166.28787547219503,723.5969194304955,0.5388515109014534,2.9925
166.27559531565146,723.378116040246,0.540234738749389,3.0375
166.26322323559583,723.1577278878982,0.541620855965096,3.0825
166.2509861295136,722.9397964916121,0.5429843097271342,3.1275
166.2386691275629,722.7204948577781,0.5443493719906485,3.1725
166.22647492052488,722.5034315699908,0.5456934698982546,3.2175
166.2142115459875,722.2851892444926,0.547038064489553,3.2625
166.202060036773,722.0689893095997,0.5483632178290367,3.3075
166.18984892476448,721.8517806588477,0.5496879049737623,3.3525
166.17773986881184,721.6364385673937,0.5509945176379583,3.3975
166.1655797328192,721.4202393986443,0.5522998323918652,3.4425
166.1535128480014,721.2057489911032,0.5535883005298562,3.4875
166.14140247315623,720.990536429702,0.5548747544951728,3.5325
166.12937744492865,720.7768909889561,0.55614546624855,3.5775
166.11731568192408,720.5626433673538,0.5574135491366184,3.6225
166.10533216792254,720.3498357010791,0.5586668844478687,3.6675
166.09331792750788,720.1365324584003,0.5599170655048706,3.7125
166.08137556164314,719.924554972335,0.5611533959892928,3.7575
166.0694078096477,719.7121765635228,0.5623861252989515,3.8025
166.05750620574725,719.5010213266324,0.5636058141708488,3.8475
166.0455839585672,719.2895491401825,0.5648215238460057,3.8925
166.03372271361974,719.0792079424865,0.5660249258908435,3.9375
166.0218450341381,718.8686242259762,0.5672240311654312,3.9825
166.01002373117018,718.6590886298374,0.5684114927516759,4.0275
165.99818972506006,718.4493764224469,0.5695943929821116,4.0725
165.9864079356895,718.2406378080174,0.570766252105215,4.1175
165.9746167480622,718.031780879391,0.5719333316915817,4.1625
165.9628740347638,717.8238304847223,0.5730899180465724,4.2075
165.95112484713326,717.615813279567,0.5742415472793352,4.2525
165.93942076523894,717.408642236117,0.5753831823571451,4.2975
165.92771279276513,717.2014498238595,0.5765197181981183,4.3425
165.91604689223533,716.9950491877646,0.5776467153997022,4.3875
165.90437938122756,716.7886672169444,0.5787685022026215,4.4325
165.8927513622591,716.5830307204975,0.5798867846145522,4.4775
