T,P,alpha,z
156.2647134150489,751.1195350110959,-5.5301039674327395e-21,-0.1125
157.23224506750637,748.8804649889041,-5.544804774780172e-21,0.1125
158.19909639576355,746.9103710990719,-6.411795805364331e-21,0.3375
159.1653331259447,744.6715660055241,-6.071252999505778e-21,0.5625
160.1308745393319,742.7017346658914,-6.085030508198566e-21,0.7875
161.0957853142378,740.463189725687,-6.107351581457213e-21,1.0125
162.05998558999835,738.4936162269987,-7.678735175890284e-21,1.2375
163.0235389786543,736.2553267962741,-5.439575275230684e-21,1.4625
163.98636649178917,734.2860065587596,-6.819526793661752e-21,1.6875
164.948530656091,732.0479681212074,2.5238049258225226e-18,1.9125
165.90995198599688,730.0788967267456,1.716932130724511e-8,2.1375
166.5368993625401,728.045279744715,0.0974747745597946,2.3625
166.4358561300288,726.2377172659407,0.17809613908807845,2.5875
166.33907257325512,724.509696840533,0.24581437543044046,2.8125
166.25084283755803,722.9372449048562,0.30346051663804247,3.0375
166.1649174282378,721.4084655378545,0.35313167628446407,3.2625
166.085994778898,720.0065403952816,0.3963429476979714,3.4875
166.00810358122095,718.6250580613373,0.4342943539474451,3.7125
165.93617482903375,717.3511951354891,0.4678601784207758,3.9375
165.8644050277203,716.0819342347085,0.497781181559397,4.1625
165.79786484900478,714.9067531811328,0.524590559074835,4.3875
