T,P,alpha,z
156.74855922868488,750.0,0.0,0.0
157.824903828287,747.6493901762035,0.0,0.2515
158.900445181742,745.301410821304,0.0,0.503
159.9751726247364,742.9560711452042,0.0,0.7545
161.04907541751618,740.6133803755553,0.0,1.006
162.1221427439354,738.2733477584258,0.0,1.2575
163.19436371050432,735.935982558979,0.0,1.509
164.2657273453691,733.6012940621563,0.0,1.7605
165.33622259727383,731.2692915733669,0.0,2.012
166.40583833445783,728.939984419186,0.0,2.2635
166.47083964745053,726.8631339659432,0.3352554981404847,2.515
166.37185208747678,725.0945923500644,0.5229330633320421,2.7665
166.3019435003984,723.8476430132334,0.5312073588235725,3.018
166.23283605289487,722.6166566102522,0.5391343249031296,3.2695
166.1644928378704,721.4009176287882,0.5467378807807102,3.521
166.09687938921616,720.1997581384393,0.5540397068134346,3.7725
166.02996346017562,719.0125534706032,0.5610595064316674,4.024
165.9637148268643,717.8387183889279,0.5678152316134605,4.2755
165.8981051135554,716.6777036840173,0.5743232777459798,4.527
165.83310763683812,715.5289931361822,0.5805986526658902,4.7785
