hl_sat,T,T_sat,alpha,z,h,p
752.2192580340594,165.3569866282188,450.69408250976807,0.0,-0.045,698.9287377594769,947.4137016195943
752.0538772411461,165.69363317213458,450.6565525934042,0.0,0.045,700.393304326417,946.5862983804057
751.8859156047645,166.03019406268993,450.61843571262295,0.0,0.135,701.8578708796725,945.7465379927066
751.7204377145064,166.3666656844896,450.5808812146979,0.0,0.225,703.3224374190278,944.9197422323871
751.5523756167881,166.70305094708323,450.5427389485988,0.0,0.315,704.7870039443507,944.0805897975334
751.3868006320895,167.0393462501852,450.5051598671523,0.0,0.405,706.2515704555523,943.2544026144825
751.2186381138218,167.3755544849529,450.46699222227966,0.0,0.495,707.7161369525004,942.4158594601233
751.0529660841826,167.7116720663027,450.42938856593724,0.0,0.585,709.1807034351066,941.5902821828201
750.8847031871707,168.0477018668838,450.3911955490755,0.0,0.675,710.6452699032382,940.7523496386152
750.7189341631748,168.3836403168943,450.35356732671204,0.0,0.765,712.1098363568068,939.9273835975703
750.5505709302854,168.7194902703547,450.31534894488954,0.0,0.855,713.5744027956803,939.0900629952313
750.3847049635918,169.05524817284976,450.27769616563455,0.0,0.945,715.03896921977,938.2657095230248
750.2162414387521,169.39091685963996,450.23945242612876,0.0,1.035,716.5035356289437,937.4290021963557
750.0502785821252,169.72649279178268,450.201775099363,0.0,1.125,717.968102023113,936.6052626276795
749.8817148103502,170.06197878566667,450.1635060097053,0.0,1.215,719.4326684021456,935.7691699126175
749.7156551176554,170.39737131790616,450.1258041450724,0.0,1.305,720.8972347659533,934.9460455843157
749.5469911450474,170.73267318588768,450.0875097130479,0.0,1.395,722.3618011144034,934.1105688189722
749.3808346712988,171.06788088188677,450.04978332045556,0.0,1.485,723.8263674474082,933.2880610700823
749.2120705450831,171.40299718416645,450.0114635541096,0.0,1.575,725.2909337648347,932.4532015947851
749.0458173464446,171.73801860073888,449.9737126437334,0.0,1.665,726.7555000665951,931.6313117665809
748.8769531149728,172.0729478906212,449.9353675513744,0.0,1.755,728.2200663525568,930.7970709239145
748.7106032487466,172.40778157766806,449.89759213366017,0.0,1.845,729.6846326226319,929.9758003599459
748.5416389615356,172.74252240151128,449.8592217238663,0.0,1.935,731.1491988766874,929.1421794947947
748.3751924862169,173.07716690194104,449.8214218095342,0.0,2.025,732.6137651146358,928.321529540932
748.2061281939281,173.41171779908262,449.78302609115383,0.0,2.115,734.0783313363439,927.4885300005227
748.0395851692191,173.74617164875826,449.74520169120575,0.0,2.205,735.5428975417244,926.6685020049977
747.8704209237083,174.0805311514407,449.7067806733629,0.0,2.295,737.0074637306437,925.8361251389402
747.7037814105205,174.41479287908516,449.66893179908374,0.0,2.385,738.4720299030148,925.0167204523904
747.5345172648398,174.7489595123928,449.6304854911828,0.0,2.475,739.936596058704,924.1849676127226
747.367781325328,175.083027639534,449.59261215414364,0.0,2.565,741.4011621976242,923.3661875882302
747.1984173337423,175.4169999213094,449.55414056587125,0.0,2.655,742.8657283196417,922.5350601294612
747.0315850313006,175.75087296220926,449.5162427779374,0.0,2.745,744.330294424706,921.7169061226011
746.8620542279596,175.75076106472238,449.4777306938557,0.0,2.835,744.3293700008226,920.8860770575998
746.695145893812,175.75064757416715,449.4398130708377,0.0,2.925,744.3284455769175,920.0686498671349
746.5253870056507,175.75053567620967,449.40124656540524,0.0,3.015,744.327521152966,919.2378215372206
746.3582538948324,175.75042218519485,449.36327531038756,0.0,3.105,744.3265967289931,918.4203950377731
746.1882661802825,175.75031028676585,449.32465420655865,0.0,3.195,744.3256723049738,917.5895674429506
746.0209075612994,175.75019679529862,449.2866291449067,0.0,3.285,744.3247478809327,916.7721416345245
745.8506902749932,175.75008489639845,449.24795326473725,0.0,3.375,744.3238234568454,915.941314774797
745.6831054126401,175.7499714044743,449.2098742209284,0.0,3.465,744.3228990327365,915.1238896573964
745.5126578054584,175.74985950510046,449.17114338557036,0.0,3.555,744.3219746085811,914.2930635327688
745.3448459607965,175.74974601272152,449.1330101831891,0.0,3.645,744.3210501844042,913.4756391063967
745.1741672797795,175.74963411287956,449.0942242128827,0.0,3.735,744.3201257601809,912.6448137168721
745.0061277101133,175.7495206200428,449.05603667461514,0.0,3.825,744.319201335936,911.8273899815338
744.8352171984868,175.74940871972808,449.0171953886832,0.0,3.915,744.3182769116447,910.996565327117
744.6669491573127,175.74929522643828,448.9789533363074,0.0,4.005,744.3173524873318,910.1791422828147
744.4958060544294,175.74918332570763,448.9400565531496,0.0,4.095,744.3164280632395,909.3483183635101
744.3273087919883,175.74906982169296,448.90175980765696,0.0,4.185,744.3155035937882,908.5308960128889
744.1583647675967,175.7133602264252,448.8633602264252,0.014417749021742437,4.275,744.3145630804561,907.7118611314957
743.9888509433414,175.67482983274448,448.82482983274446,0.029544710812388592,4.365,744.3136200536187,906.890622027469
743.8238480269036,175.63732351400677,448.78732351400674,0.04389395430766944,4.455,744.3131516213642,906.0917735531841
