T,P,alpha,z
98.7614814726843,184.27532319849445,2.3910491466138435e-19,-0.15
100.08764009636383,181.72467680150555,2.4184627566259963e-19,0.15
101.41341155186416,178.61354744110062,-1.0722606554592949e-18,0.45
102.73858433787797,176.06298706651896,-2.5723751350844815e-18,0.75
104.06334444353126,172.95194229020774,-2.5509120796924153e-18,1.05
105.38748183936673,170.401465114458,-2.8340946743499264e-18,1.35
106.71118039542512,167.29050216500767,-2.428230302498473e-18,1.65
108.03423158289075,164.7401054947458,-3.041192089029934e-18,1.95
109.35681713429994,161.62922174115326,-3.410836586515885e-18,2.25
110.67873005205024,159.0789030054465,-2.9812862183973052e-18,2.55
110.67856599172063,155.96809593543574,3.2932762046984206e-16,2.85
110.67830572147835,153.41777721003473,4.413458151387245e-12,3.15
110.67814164720448,150.30697171570407,5.567444042462804e-7,3.45
110.67783638895065,147.780955960482,0.008593565650528169,3.75
110.49101125500812,145.7596634222304,0.3856377398906661,4.05
110.27763386446497,144.72101833141596,0.5601134713476961,4.35
