Temperature (C)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
1.0000	0.0065709	999.85	0.0010001	0.075233	0.075245	0.27492	75.938	75.963	1407.2	-0.024046	1731.2	0.55811	0.075508	0.0051965	192.44	42.809	45.087	164.46	25.567	33.965	409.72	57.422	8.9741	0.016824
2.0000	0.0070599	999.89	0.0010001	0.15117	0.15118	0.55140	75.897	75.907	1412.1	-0.023951	1673.7	0.56059	0.075367	0.0055630	179.76	42.834	45.120	163.99	25.582	33.983	410.44	55.623	9.0029	0.016889
3.0000	0.0075808	999.92	0.0010001	0.22705	0.22706	0.82668	75.853	75.855	1416.8	-0.023858	1619.2	0.56302	0.075226	0.0059521	168.01	42.859	45.153	163.51	25.598	34.001	411.16	53.884	9.0319	0.016953
4.0000	0.0081355	999.93	0.0010001	0.30288	0.30289	1.1008	75.807	75.807	1421.5	-0.023766	1567.4	0.56539	0.075084	0.0063647	157.12	42.884	45.186	163.05	25.613	34.020	411.88	52.204	9.0610	0.017018
5.0000	0.0087258	999.92	0.0010001	0.37866	0.37868	1.3737	75.760	75.763	1426.0	-0.023676	1518.3	0.56772	0.074942	0.0068022	147.01	42.908	45.219	162.58	25.628	34.038	412.60	50.582	9.0902	0.017083
6.0000	0.0093536	999.89	0.0010001	0.45441	0.45442	1.6456	75.711	75.721	1430.4	-0.023588	1471.6	0.57001	0.074799	0.0072657	137.63	42.933	45.252	162.13	25.644	34.057	413.32	49.015	9.1196	0.017149
7.0000	0.010021	999.86	0.0010001	0.53011	0.53013	1.9163	75.661	75.683	1434.8	-0.023502	1427.2	0.57225	0.074655	0.0077566	128.92	42.958	45.285	161.67	25.659	34.076	414.03	47.502	9.1491	0.017214
8.0000	0.010730	999.80	0.0010002	0.60577	0.60579	2.1859	75.609	75.647	1439.0	-0.023417	1384.8	0.57444	0.074511	0.0082762	120.83	42.983	45.318	161.22	25.675	34.095	414.74	46.042	9.1788	0.017280
9.0000	0.011483	999.74	0.0010003	0.68140	0.68142	2.4544	75.556	75.614	1443.1	-0.023333	1344.5	0.57660	0.074366	0.0088258	113.30	43.007	45.351	160.77	25.690	34.114	415.46	44.632	9.2085	0.017346
10.000	0.012282	999.65	0.0010003	0.75700	0.75702	2.7219	75.502	75.584	1447.1	-0.023251	1306.0	0.57871	0.074221	0.0094071	106.30	43.032	45.384	160.33	25.706	34.134	416.17	43.272	9.2384	0.017412
11.000	0.013130	999.56	0.0010004	0.83257	0.83260	2.9883	75.446	75.555	1451.0	-0.023170	1269.2	0.58079	0.074075	0.010021	99.787	43.057	45.417	159.89	25.722	34.153	416.88	41.960	9.2685	0.017479
12.000	0.014028	999.45	0.0010005	0.90811	0.90814	3.2537	75.389	75.529	1454.9	-0.023090	1234.1	0.58283	0.073929	0.010670	93.719	43.081	45.450	159.46	25.738	34.173	417.58	40.694	9.2986	0.017545
13.000	0.014981	999.33	0.0010007	0.98363	0.98366	3.5180	75.330	75.505	1458.6	-0.023012	1200.5	0.58483	0.073782	0.011355	88.064	43.106	45.483	159.03	25.754	34.193	418.29	39.473	9.3289	0.017612
14.000	0.015990	999.20	0.0010008	1.0591	1.0592	3.7814	75.271	75.483	1462.2	-0.022935	1168.4	0.58680	0.073634	0.012078	82.793	43.131	45.516	158.60	25.770	34.212	418.99	38.296	9.3593	0.017679
15.000	0.017058	999.06	0.0010009	1.1346	1.1346	4.0438	75.210	75.462	1465.8	-0.022858	1137.6	0.58874	0.073486	0.012841	77.875	43.155	45.549	158.18	25.786	34.233	419.69	37.160	9.3898	0.017747
16.000	0.018188	998.90	0.0010011	1.2100	1.2101	4.3052	75.148	75.443	1469.2	-0.022783	1108.1	0.59064	0.073337	0.013645	73.286	43.180	45.581	157.76	25.802	34.253	420.39	36.065	9.4204	0.017814
17.000	0.019384	998.73	0.0010013	1.2855	1.2855	4.5656	75.085	75.426	1472.6	-0.022709	1079.8	0.59252	0.073188	0.014493	69.001	43.205	45.614	157.34	25.819	34.273	421.09	35.009	9.4512	0.017882
